[Fri Jan 15 15:51:12.619 2016] 0.209 sec 0.209 sec [ext2/0/rel 3 (0,25)] [*] test
[Fri Jan 15 15:51:55.973 2016] 0.000 sec 0.000 sec [ext2/0/rel 1 (0,25)] [*] two
[Fri Jan 15 15:52:09.502 2016] 0.000 sec 0.000 sec [ext2/0/rel 1 (0,25)] [*] two
[Fri Jan 15 15:54:11.458 2016] 0.001 sec 0.001 sec [ext2/0/rel 1 (0,25)] [*] two
[Fri Jan 15 15:54:20.738 2016] 0.000 sec 0.000 sec [ext2/0/rel 3 (0,25)] [*] number
[Mon Jan 18 10:39:12.921 2016] 0.032 sec 0.032 sec [ext2/0/rel 0 (0,25)] [*] ""/1
[Mon Jan 18 10:39:21.069 2016] 0.056 sec 0.056 sec [ext2/0/rel 1 (0,25)] [*] two
[Mon Jan 18 10:47:28.174 2016] 0.000 sec 0.000 sec [ext2/0/rel 1 (0,25)] [*] two
[Mon Jan 18 10:47:30.241 2016] 0.000 sec 0.000 sec [ext2/0/rel 1 (0,25)] [*] two
[Mon Jan 18 10:47:31.623 2016] 0.000 sec 0.000 sec [ext2/0/rel 1 (0,25)] [*] two
[Mon Jan 18 10:47:37.833 2016] 0.000 sec 0.000 sec [ext2/0/rel 2 (0,25)] [*] doc
[Mon Jan 18 10:47:46.069 2016] 0.000 sec 0.000 sec [ext2/0/rel 2 (0,25)] [*] document
[Mon Jan 18 10:47:57.000 2016] 0.000 sec 0.000 sec [ext2/0/rel 2 (0,25)] [*] doc
[Mon Jan 18 10:48:03.644 2016] 0.000 sec 0.000 sec [ext2/0/rel 2 (0,25)] [*] document
[Mon Jan 18 13:15:57.466 2016] 0.000 sec 0.000 sec [ext2/0/rel 2 (0,25)] [*] document
[Mon Jan 18 13:39:45.385 2016] 0.000 sec 0.000 sec [ext2/0/rel 2 (0,25)] [*] document
[Mon Jan 18 13:44:51.492 2016] 0.000 sec 0.000 sec [ext2/0/rel 2 (0,25)] [*] document
[Mon Jan 18 13:52:21.915 2016] 0.000 sec 0.000 sec [ext2/0/rel 2 (0,25)] [*] document
[Mon Jan 18 13:52:26.831 2016] 0.000 sec 0.000 sec [ext2/0/rel 2 (0,25)] [*] document
[Mon Jan 18 13:52:50.518 2016] 0.001 sec 0.001 sec [ext2/0/rel 0 (0,25)] [*] 1
[Mon Jan 18 13:53:02.668 2016] 0.000 sec 0.000 sec [ext2/0/rel 1 (0,25)] [*] two
[Mon Jan 18 14:05:16.633 2016] 0.000 sec 0.000 sec [ext2/0/rel 1 (0,25)] [*] two
[Mon Jan 18 15:44:22.700 2016] 0.040 sec 0.040 sec [ext2/0/rel 1 (0,25)] [*] two
[Wed Jan 20 02:45:34.341 2016] 0.045 sec 0.045 sec [ext2/0/rel 4 (0,25)] [*] this
[Wed Jan 20 02:56:09.005 2016] 0.001 sec 0.001 sec [ext2/0/rel 1 (0,25)] [*] another
[Wed Jan 20 02:58:51.897 2016] 0.000 sec 0.000 sec [ext2/0/rel 1 (0,25)] [*] another
[Wed Jan 20 02:58:53.022 2016] 0.000 sec 0.000 sec [ext2/0/rel 1 (0,25)] [*] another
[Wed Jan 20 03:06:44.726 2016] 0.001 sec 0.001 sec [ext2/0/rel 1 (0,25)] [*] another
[Wed Jan 20 21:53:23.094 2016] 0.021 sec 0.021 sec [ext/0/rel 2 (0,25)] [test1] document
[Wed Jan 20 21:57:17.554 2016] 0.000 sec 0.000 sec [ext/0/rel 4 (0,25)] [test1] this
[Wed Jan 20 21:58:07.520 2016] 0.000 sec 0.000 sec [ext/0/rel 1 (0,25)] [test1] groups
[Wed Jan 20 22:13:21.528 2016] 0.000 sec 0.000 sec [ext/0/rel 1 (0,25)] [test1] groups
[Wed Jan 20 22:13:23.604 2016] 0.000 sec 0.000 sec [ext/0/rel 1 (0,25)] [test1] groups
[Wed Jan 20 22:13:48.809 2016] 0.000 sec 0.000 sec [ext/0/rel 2 (0,25)] [test1] document
[Wed Jan 20 22:51:35.349 2016] 0.000 sec 0.000 sec [ext/0/rel 2 (0,25)] [test1] document
[Wed Jan 20 23:15:45.448 2016] 0.000 sec 0.000 sec [ext/0/rel 2 (0,25)] [test1] (@* document)
[Wed Jan 20 23:17:39.658 2016] 0.000 sec 0.000 sec [ext/0/rel 0 (0,25)] [test1] (@* tag)
[Wed Jan 20 23:46:58.007 2016] 0.000 sec 0.000 sec [ext/0/rel 0 (0,25)] [test1] (@* tag)
[Wed Jan 20 23:48:57.186 2016] 0.000 sec 0.000 sec [ext/0/rel 0 (0,25)] [test1] (@* tag)
[Wed Jan 20 23:49:07.996 2016] 0.000 sec 0.000 sec [ext/0/rel 1 (0,25)] [test1] (@* two)
[Thu Jan 21 02:42:47.106 2016] 0.000 sec 0.000 sec [ext/0/rel 1 (0,25)] [test1] two
[Thu Jan 21 03:35:36.207 2016] 0.000 sec 0.000 sec [ext/0/rel 1 (0,25)] [test1] two
[Thu Jan 21 03:35:47.175 2016] 0.000 sec 0.000 sec [ext/0/rel 2 (0,25)] [test1] document
[Thu Jan 21 03:36:37.460 2016] 0.000 sec 0.000 sec [ext/0/rel 3 (0,25)] [test1] test
[Thu Jan 21 03:38:11.602 2016] 0.000 sec 0.000 sec [ext/0/rel 3 (0,25)] [test1] test
[Thu Jan 21 03:38:15.800 2016] 0.000 sec 0.000 sec [ext/0/rel 3 (0,25)] [test1] test
[Thu Jan 21 03:38:17.323 2016] 0.000 sec 0.000 sec [ext/0/rel 3 (0,25)] [test1] test
[Thu Jan 21 03:38:17.873 2016] 0.000 sec 0.000 sec [ext/0/rel 3 (0,25)] [test1] test
[Thu Jan 21 03:38:54.144 2016] 0.000 sec 0.000 sec [ext/0/rel 3 (0,25)] [test1] test
[Thu Jan 21 03:39:12.308 2016] 0.000 sec 0.000 sec [ext/0/rel 3 (0,25)] [test1] test
[Thu Jan 21 03:41:15.695 2016] 0.000 sec 0.000 sec [ext/0/rel 3 (0,25)] [test1] test
[Thu Jan 21 03:55:18.203 2016] 0.028 sec 0.028 sec [ext/1/rel 2 (0,25)] [test1] test
[Thu Jan 21 04:11:35.973 2016] 0.000 sec 0.000 sec [ext/1/rel 2 (0,25)] [test1] test
[Thu Jan 21 04:34:15.471 2016] 0.000 sec 0.000 sec [ext/1/rel 2 (0,25)] [test1]
[Thu Jan 21 04:34:36.617 2016] 0.000 sec 0.000 sec [ext/0/rel 4 (0,25)] [test1]
[Thu Jan 21 04:35:24.703 2016] 0.000 sec 0.000 sec [ext/1/rel 2 (0,25)] [test1] test
[Thu Jan 21 05:02:44.367 2016] 0.077 sec 0.077 sec [ext/1/rel 5 (0,25) @tag_id] [test1] test
[Thu Jan 21 05:05:57.894 2016] 0.000 sec 0.000 sec [ext/0/rel 8 (0,25) @tag_id] [test1] test
[Thu Jan 21 05:31:42.665 2016] 0.001 sec 0.001 sec [ext/0/rel 8 (0,25) @tag_id] [test1] (@* test)
[Thu Jan 21 05:34:21.842 2016] 0.000 sec 0.000 sec [ext/0/rel 8 (0,25) @tag_id] [test1] (@* test)
[Thu Jan 21 05:34:46.163 2016] 0.000 sec 0.000 sec [ext/0/rel 9 (0,25) @tag_id] [test1]
[Thu Jan 21 05:40:08.240 2016] 0.000 sec 0.000 sec [ext/0/rel 9 (0,25) @tag_attr] [test1]
[Thu Jan 21 05:40:08.258 2016] 0.016 sec 0.016 sec [ext/0/rel 9 (0,15) @tag_attr] [*]
[Thu Jan 21 05:40:41.385 2016] 0.000 sec 0.000 sec [ext/0/rel 8 (0,25) @tag_attr] [test1] (@* test)
[Thu Jan 21 05:40:41.388 2016] 0.001 sec 0.001 sec [ext/0/rel 8 (0,15) @tag_attr] [*] (@* test)
